a,y,sex,race,mom_educ,dad_educ,log_parent_income,log_parent_wealth,test_percentile
no_college,FALSE,Female,Hispanic,High school,< HS,24.001005384804998,34.23590675964927,15.246056116636542
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,24.0824573056811,8.084121790429977,17.23418634238122
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,High school,27.35559127550629,18.769384026958598,39.618611443842106
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,55.03273836890013,1.5498806896708928,62.824800878053665
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,7.1977223663346415,26.680889846319964,9.495383149930525
college,FALSE,Male,Non-Hispanic Non-Black,College,Some college,13.939393664500734,12.281916730235682,83.54920026459297
no_college,TRUE,Male,Non-Hispanic Non-Black,No mom,< HS,13.041274421482875,10.177973468579756,13.22582567611537
no_college,FALSE,Female,Hispanic,Some college,Some college,31.67231658693523,1,0
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,No dad,50.34787955334079,18.097930839982034,52.66771300008411
no_college,FALSE,Male,Non-Hispanic Black,Some college,Some college,22.841649117720415,32.022033037372864,45.177559497959564
no_college,FALSE,Male,Non-Hispanic Black,No mom,No dad,3.8374807064133325,4.777753140263529,34.56242676683039
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,High school,36.17878783558647,7.376736897344879,44.56054036347604
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,25.323811690420285,25.719953995156544,7.048296171556386
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,21.602671997996737,2.036899778844404,14.581024161829557
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,11.117668506675187,22.145610201674657,26.4472504190213
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,5.239076104762379,22.285486160111965,15.876385234299304
no_college,FALSE,Female,Non-Hispanic Non-Black,College,High school,15.172291643917413,28.054137155357594,42.32481547881745
college,FALSE,Female,Non-Hispanic Non-Black,< HS,College,9.649666972922759,8.972315090223582,11.973154177029251
college,FALSE,Female,Non-Hispanic Black,Some college,No dad,6.112414065350148,18.992063340929928,19.67174911258427
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,Some college,36.98831994483873,11.033989195962265,13.00746013179378
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,7.898699012628059,5.675764143963516,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,Some college,1,3.7634020706485245,78.38986349312543
college,FALSE,Female,Non-Hispanic Black,College,College,51.307962594469416,33.80553680719926,0
college,TRUE,Female,Non-Hispanic Black,High school,No dad,1,53.83456708080294,33.83351076792575
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,1,80.07825737747062,82.80230754882864
college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,44.22314713555589,90.01515810523077,40.20396653526706
college,TRUE,Female,Non-Hispanic Non-Black,College,No dad,81.29970981835946,31.506136570601015,0
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,32.40799530701541,39.45197164232098,35.36980573736146
college,TRUE,Male,Non-Hispanic Black,College,No dad,20.947632634525917,1,83.47161759088111
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,19.59432536003287,16.897164417959587,3.8376015548698934
college,TRUE,Female,Non-Hispanic Non-Black,College,Some college,39.23908791672419,1,19.9250888985635
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,17.180438448666113,31.311373192211416,25.660342909640818
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,< HS,1,5.980583250376986,46.843623747268275
college,TRUE,Male,Non-Hispanic Non-Black,Some college,College,78.9460281390574,39.57637229923725,14.99945339094489
no_college,FALSE,Male,Hispanic,Some college,College,23.260806991326028,13.426812292607574,18.822935219840584
college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,75.81529663031552,1,0
no_college,FALSE,Male,Hispanic,< HS,< HS,5.525099568719018,13.466119463289404,0
no_college,FALSE,Male,Non-Hispanic Black,< HS,< HS,9.136431788102875,27.69822491477842,7.239855426831233
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,17.355221636114912,14.063598224984933,7.486633349673626
no_college,FALSE,Male,Non-Hispanic Black,College,College,32.21564242057656,8.314701419420857,0
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,High school,38.977742470929996,1,2.9916553462693756
no_college,TRUE,Male,Non-Hispanic Black,Some college,Some college,19.296734553075872,53.483013047475026,0
college,FALSE,Female,Non-Hispanic Non-Black,College,No dad,42.38598855709576,76.80623886307434,0
college,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,1,52.05157208541047,81.86992027885154
no_college,FALSE,Male,Hispanic,High school,< HS,26.417777307430494,21.036952527201947,39.643569957639045
college,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,24.041720467544526,49.39789351055953,33.236418599853174
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,< HS,74.00349919326138,22.296507697054363,7.322384288560411
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,3.1217497723592764,20.46431362236528,9.784880452834065
college,TRUE,Male,Non-Hispanic Black,College,< HS,45.87195689535791,1,60.36206623921298
no_college,FALSE,Female,Non-Hispanic Black,High school,< HS,1,29.244927528871756,0
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,31.958753217470736,24.972168000438415,23.291033654028134
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,8.19916525846822,16.264058090229568,4.165388510129578
no_college,FALSE,Female,Hispanic,< HS,< HS,1.930140888900576,25.916729107619886,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,33.39084298732088,6.553011814101339,0
college,FALSE,Female,Hispanic,High school,High school,72.98162176139884,22.349002636399405,15.274228669971269
no_college,FALSE,Female,Non-Hispanic Black,Some college,College,44.90783257383961,1,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,47.3731170411338,44.937431964670125,26.001747869234862
college,TRUE,Male,Non-Hispanic Non-Black,Some college,College,31.499762234882997,39.039697645972794,31.874402958294105
no_college,FALSE,Female,Hispanic,< HS,No dad,23.174413884614538,1,19.179284875005173
no_college,FALSE,Male,Hispanic,< HS,High school,36.29615946482134,26.060946963211855,7.850207456437198
no_college,FALSE,Female,Hispanic,High school,No dad,1,32.82251476509396,0.19155090530098917
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,1,1,22.650052360434984
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,7.68424699355016,14.208098380779681,18.462079849254643
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,64.03142306422285,10.121428295333146,61.482713032062
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,14.93593158947011,7.016134219026576,24.152526735955238
no_college,FALSE,Male,Hispanic,< HS,< HS,26.099902628000216,21.946708102358052,9.910076495491616
no_college,FALSE,Male,Non-Hispanic Black,No mom,No dad,3.839048524655567,38.4121695405408,21.147447686818396
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,1,62.241643442854325,24.38789370121588
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,23.36171604807656,26.150203989941943,12.787512101559507
no_college,FALSE,Female,Hispanic,High school,< HS,9.036098674286048,11.903021761181177,22.654098596203728
college,TRUE,Male,Non-Hispanic Non-Black,College,College,48.24505619809797,1,0
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,19.71115234949646,1,16.41638747764165
no_college,TRUE,Female,Hispanic,Some college,Some college,8.442657914871742,1,2.116113881147225
no_college,FALSE,Female,Non-Hispanic Black,No mom,College,1,20.09836072902707,9.479083871416067
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,1,36.79630643038317,11.664133623141966
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,28.34350453384064,1,23.766148354666367
no_college,FALSE,Male,Non-Hispanic Black,< HS,< HS,3.3667453878627374,4.887367266902713,0.2424183137846878
college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,14.378860884327944,50.42887676754028,22.9910301659996
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,3.7343474747565306,1,16.448655049680532
no_college,FALSE,Male,Hispanic,Some college,< HS,1.2320201490614,1,13.391257752838142
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,37.36387864490774,25.943097653277775,20.45399295466615
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,39.27959130089124,49.41308581733404,23.238285754359
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,1,15.539051046208293,0
no_college,FALSE,Female,Non-Hispanic Non-Black,College,Some college,69.49734969669957,32.65695789969149,0
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,11.653308860558582,18.653794731963266,14.756165090209372
no_college,FALSE,Male,Non-Hispanic Black,No mom,High school,5.407904488478865,31.232943045714794,10.642820452576498
no_college,FALSE,Female,Non-Hispanic Black,High school,High school,1,54.232288256317545,21.58791769460472
no_college,FALSE,Female,Hispanic,< HS,No dad,24.934583982119356,25.260109647142784,0
no_college,FALSE,Female,Non-Hispanic Black,High school,Some college,17.304168388390924,17.308899725168086,26.337973801859224
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,High school,1,46.021684619365935,10.75479870185376
no_college,FALSE,Female,Hispanic,No mom,No dad,22.57699076522922,1,8.505340776412487
no_college,TRUE,Male,Non-Hispanic Black,College,< HS,73.09769764506488,35.22311965820492,7.6586787826022515
no_college,FALSE,Male,Non-Hispanic Black,< HS,High school,19.896233941619286,12.744725320643973,11.387970219450528
no_college,FALSE,Female,Hispanic,< HS,Some college,7.47808399240759,15.996860635123518,23.901404367369615
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,5.8389208487836015,87.50653440855918,0
college,TRUE,Male,Non-Hispanic Non-Black,College,College,35.809819212769,22.874745767866777,22.234924382251528
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,High school,28.15150694648318,39.21850496834316,11.770658910661306
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,21.05971141172641,35.93311154457912,6.199539751850224
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,49.67023482930276,19.516791302594026,8.694498764711561
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,High school,31.375005623288384,16.49534583994353,17.617397355550487
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,32.156684161820294,18.419962685870512,26.64798443924271
college,FALSE,Male,Hispanic,Some college,No dad,27.33886997665975,32.589876501902864,0
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,College,5.651691084509611,15.944773185143529,17.56713020696979
college,TRUE,Female,Hispanic,College,College,19.761721255291537,24.129514854002153,4.526663245811378
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,High school,36.60410388167041,1,42.5504165863196
college,FALSE,Male,Non-Hispanic Non-Black,College,College,22.852078326849366,70.85284751521567,17.026130024836633
college,FALSE,Female,Hispanic,< HS,No dad,20.27544239529419,28.452463214729207,32.94011756173413
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,20.683744631457024,18.370567440831444,12.294651495039796
no_college,TRUE,Female,Non-Hispanic Black,Some college,Some college,6.226066427305495,26.029277708970792,19.374717735055206
no_college,FALSE,Male,Hispanic,College,Some college,1,2.3107780795281556,11.944116772412467
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,3.2485816082738364,31.43632054001811,10.230041784020422
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,Some college,34.94793921241751,12.339890135408963,7.906403725945989
no_college,FALSE,Male,Non-Hispanic Non-Black,College,No dad,33.25446868283441,1,0
no_college,FALSE,Male,Hispanic,< HS,< HS,11.835648312882393,20.363555391642393,14.893254928868128
no_college,TRUE,Male,Hispanic,High school,High school,12.992806575372985,25.154019621590614,25.145937816875268
no_college,TRUE,Female,Non-Hispanic Black,High school,< HS,21.436224636669778,1.6559718788874918,0
college,TRUE,Female,Non-Hispanic Non-Black,College,College,13.799802298703494,42.807149878415,0.8423850850583108
college,FALSE,Female,Non-Hispanic Non-Black,< HS,High school,48.548309655143896,82.85835636286018,14.156864038982853
college,FALSE,Male,Non-Hispanic Non-Black,Some college,Some college,6.431136948153252,34.518235076933294,12.62969153335953
no_college,FALSE,Female,Hispanic,< HS,No dad,4.999927280825288,48.53150235994704,13.152604985013157
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,3.466719963203097,15.08260681240552,0
no_college,FALSE,Female,Non-Hispanic Black,High school,High school,40.24475784647461,5.775548418053425,14.313433070674712
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,19.856707562959436,7.683479929100722,5.615699155362423
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,Some college,1,5.578758189950843,49.00177382999273
college,TRUE,Female,Non-Hispanic Non-Black,College,College,1,21.272650579565315,94.73672941464602
no_college,FALSE,Female,Non-Hispanic Non-Black,College,No dad,33.78575822151751,1,47.73085428977698
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,6.253442935325746,12.395776714350268,16.829021709163
no_college,FALSE,Male,Hispanic,Some college,Some college,16.050030930234303,1,30.329357919910958
college,TRUE,Male,Non-Hispanic Black,College,High school,71.50679619630822,43.04831164457234,0
no_college,TRUE,Female,Hispanic,Some college,Some college,49.332764191168216,1,0
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,College,22.786009546367485,22.660925112729135,57.73362418397322
no_college,FALSE,Female,Non-Hispanic Non-Black,No mom,No dad,13.152106801826207,35.812181446000736,30.021880773015358
no_college,FALSE,Female,Non-Hispanic Non-Black,High school,No dad,1,7.525701046374898,34.37239572033278
no_college,FALSE,Male,Non-Hispanic Non-Black,No mom,College,78.53187394017215,1,25.752003448793698
no_college,FALSE,Female,Hispanic,< HS,< HS,1,1,25.057917970935705
no_college,FALSE,Female,Hispanic,< HS,< HS,1,19.235215736451643,20.073163387859722
no_college,FALSE,Male,Hispanic,Some college,No dad,19.59617616255487,1,23.14334184729525
college,TRUE,Female,Non-Hispanic Black,High school,No dad,37.497581277280844,21.287930280243387,7.791697366245062
no_college,FALSE,Female,Non-Hispanic Black,Some college,No dad,8.610376273555364,14.737290253044023,20.205460177367154
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,< HS,19.814559436108354,14.425970907214229,0
no_college,FALSE,Female,Non-Hispanic Black,High school,< HS,20.533643360280507,1.5296723730524402,4.276484465184636
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,23.80430306664432,22.25430829992719,43.43032201440677
no_college,FALSE,Male,Hispanic,Some college,Some college,1,1,0
college,FALSE,Male,Non-Hispanic Black,College,No dad,8.326288580758973,31.122385892824006,7.736995441503165
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,High school,20.87981409761631,15.952552554547692,5.924434774288805
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,16.030768504179523,11.819392262914793,12.932511618660051
college,FALSE,Male,Non-Hispanic Non-Black,High school,High school,1,4.149683356319848,39.99159982240627
no_college,TRUE,Male,Hispanic,< HS,College,6.837656652255346,6.686957180541591,12.78667955832531
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,26.70654509204044,5.172861582796969,18.10744395718449
college,TRUE,Female,Non-Hispanic Black,Some college,College,30.707587642459238,39.49097709078936,89.90321070573958
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,29.515463322107422,41.25411601710957,33.85608500193559
college,FALSE,Female,Non-Hispanic Non-Black,Some college,College,36.11547348759433,27.396457044884812,0
no_college,FALSE,Male,Hispanic,< HS,< HS,1,16.55977294147551,11.057694616166232
college,FALSE,Male,Non-Hispanic Black,Some college,No dad,18.911063203216926,11.868769277660288,10.94146266198546
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,< HS,27.664060712855147,34.51877424477099,0
no_college,FALSE,Male,Non-Hispanic Non-Black,College,No dad,1,1,0
no_college,TRUE,Male,Non-Hispanic Non-Black,College,No dad,28.803294790244717,13.961712051447776,37.8677153879041
no_college,FALSE,Male,Hispanic,< HS,Some college,10.111918929017241,18.362027738886226,0
no_college,FALSE,Male,Non-Hispanic Black,No mom,No dad,1,6.2853721870726815,23.24120352338104
college,FALSE,Male,Non-Hispanic Non-Black,College,Some college,50.69871868736774,54.374385393513464,18.141610193027482
college,TRUE,Male,Non-Hispanic Non-Black,Some college,No dad,4.378715822476362,57.354449142455096,42.54365663343552
no_college,FALSE,Male,Non-Hispanic Black,College,Some college,4.692533171574521,37.17022705616147,35.26284139906149
no_college,TRUE,Female,Hispanic,No mom,Some college,41.46961381360106,25.43526064260355,0
college,FALSE,Female,Non-Hispanic Black,College,High school,24.586940150455767,59.24446978163595,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,No dad,1.746999156238985,58.905126649651976,23.42919585392944
college,TRUE,Male,Non-Hispanic Non-Black,College,College,84.17079530704586,17.937946727713186,0
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,7.933164493452311,1,32.24755358500011
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,11.089190986478863,8.170495336419595,9.508581558698618
no_college,FALSE,Male,Hispanic,Some college,No dad,35.071872835630145,1,6.193312830856003
college,FALSE,Female,Non-Hispanic Non-Black,High school,Some college,1,45.58751238647001,88.09516727014639
no_college,FALSE,Female,Hispanic,College,Some college,12.274002443782173,5.701415108494128,4.086980694448645
no_college,FALSE,Female,Hispanic,High school,High school,4.764912309075822,47.63588793807944,19.753404609392934
college,FALSE,Female,Non-Hispanic Non-Black,College,College,12.912018596146268,38.021248535568816,33.87938753158401
college,FALSE,Male,Non-Hispanic Non-Black,College,College,32.602540235575376,41.427294682973645,0.4928840747395782
college,FALSE,Female,Non-Hispanic Non-Black,High school,Some college,26.211315796692915,44.032964235546736,17.80451937156756
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,High school,20.659537713153277,1,51.63804581095913
no_college,FALSE,Male,Non-Hispanic Non-Black,College,College,42.543963587052694,37.757968906501205,58.62383481958577
no_college,TRUE,Male,Non-Hispanic Non-Black,High school,< HS,32.09640123874438,24.777313805095773,0
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,College,25.222174917095895,32.20253108998074,0
no_college,FALSE,Female,Hispanic,Some college,No dad,9.86718343532109,1,23.80471110757788
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,No dad,26.149684270600574,1,17.189734673797922
no_college,FALSE,Male,Non-Hispanic Black,High school,High school,4.365776362279544,7.366166878406034,20.678379200372486
no_college,FALSE,Female,Non-Hispanic Non-Black,Some college,Some college,29.46469785925352,25.986843543521598,24.245373860658127
no_college,FALSE,Male,Non-Hispanic Black,High school,No dad,13.073702831865454,26.96955781329225,1.398958035000721
no_college,FALSE,Male,Non-Hispanic Black,< HS,High school,20.583322350098996,28.269072184480322,2.680533414263204
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,No dad,16.375480450735267,26.763751165274137,0
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,1,10.953287574470773,31.70535410242677
college,FALSE,Female,Non-Hispanic Non-Black,Some college,Some college,1.244991248295154,63.318132817464104,10.044101937152654
no_college,FALSE,Male,Non-Hispanic Black,Some college,Some college,21.879217350403678,1.005632863991547,15.141281107051373
college,FALSE,Female,Non-Hispanic Non-Black,High school,High school,9.597019004368,41.509687412928706,7.302868495382661
no_college,FALSE,Male,Non-Hispanic Black,Some college,No dad,27.95055277749531,25.338868205842623,10.874262298812667
no_college,FALSE,Female,Non-Hispanic Black,No mom,No dad,23.438106731645693,1,46.29681599231461
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,< HS,2.410008117893698,9.518632324420214,17.424434610695517
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,32.4948552438413,3.0700120880941313,51.636820886356666
no_college,FALSE,Male,Hispanic,Some college,No dad,27.996226968726432,54.81065812556065,12.164802028267022
no_college,FALSE,Female,Non-Hispanic Black,< HS,No dad,11.524009495135001,1,24.92087286827192
no_college,FALSE,Male,Non-Hispanic Black,< HS,No dad,10.364953557871072,1,7.0768554565490245
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,Some college,18.568771575241257,1,25.741378086787073
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,No dad,21.318223504519345,33.01286422050603,26.34688964213725
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,10.350644967731107,9.814033757540507,14.359677546538151
no_college,FALSE,Female,Non-Hispanic Non-Black,College,College,1,21.808180539630097,46.48549888463424
college,TRUE,Male,Non-Hispanic Non-Black,Some college,College,66.11153917062829,1,71.94776517838392
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,39.83586864599703,56.7149804905615,13.296955410453137
no_college,TRUE,Female,Non-Hispanic Non-Black,Some college,Some college,5.24425139609685,43.609834686464126,86.28265132138154
no_college,FALSE,Male,Non-Hispanic Non-Black,< HS,Some college,41.13027049909445,18.050841162432523,0
no_college,FALSE,Male,Non-Hispanic Non-Black,Some college,High school,18.598502440312316,25.643701390549484,10.265653421545288
no_college,FALSE,Male,Hispanic,< HS,< HS,23.675186467084075,15.12231023749197,22.07987799090027
no_college,FALSE,Male,Hispanic,< HS,College,6.488251146224471,48.69638217865118,20.515558035442623
no_college,FALSE,Male,Hispanic,< HS,No dad,10.529492927330647,3.639752889734609,0
no_college,FALSE,Female,Hispanic,High school,No dad,33.90312236691244,33.46809661491707,10.17476155592554
college,FALSE,Female,Non-Hispanic Black,No mom,No dad,76.37222942886622,39.60512800606867,41.805098792819514
no_college,FALSE,Female,Hispanic,Some college,Some college,37.309594770436846,35.88743340492378,43.941459663159456
no_college,FALSE,Male,Non-Hispanic Black,Some college,Some college,25.503773924506515,27.391753377542216,0
no_college,TRUE,Male,Non-Hispanic Non-Black,Some college,Some college,53.46787568562676,1,9.362296735394843
no_college,FALSE,Female,Non-Hispanic Black,Some college,< HS,25.47088639100477,24.54764205143601,25.943476893318344
no_college,FALSE,Female,Non-Hispanic Black,High school,No dad,7.561874926968764,9.17916742408045,22.41053910580603
no_college,FALSE,Female,Non-Hispanic Non-Black,< HS,College,13.865263860510456,3.5648770624021857,6.801821536464381
no_college,FALSE,Male,Non-Hispanic Non-Black,High school,Some college,1,4.234300184903724,16.918020432372934
college,FALSE,Male,Hispanic,< HS,No dad,1,55.805896180186984,43.764443287346126
